tanggal_lengkap,stasiun,pm10,pm25,so2,co,o3,no2,kategori,jam,hari_dalam_minggu,nomor_bulan,musim,pm10_lag1,pm10_roll7,pm25_lag1,pm25_roll7,so2_lag1,so2_roll7,co_lag1,co_roll7,o3_lag1,o3_roll7,no2_lag1,no2_roll7,stasiun_DKI1  Bundaran Hotel Indonesia (HI),stasiun_DKI1  Bunderan HI,stasiun_DKI1 Bundaran Hotel Indonesia  HI,stasiun_DKI1 Bundaran Hotel Indonesia (HI),stasiun_DKI1 Bunderan HI,stasiun_DKI2  Kelapa Gading,stasiun_DKI2 Kelapa Gading,stasiun_DKI3  Jagakarsa,stasiun_DKI3 Jagakarsa,stasiun_DKI4  Lubang Buaya,stasiun_DKI4 Lubang Buaya,stasiun_DKI5  Kebon Jeruk  Jakarta Barat,stasiun_DKI5 Kebon Jeruk,stasiun_DKI5 Kebon Jeruk Jakarta Barat,kategori_BAIK,kategori_SANGAT TIDAK SEHAT,kategori_SEDANG,kategori_TIDAK SEHAT
2024-01-01,DKI1  Bundaran Hotel Indonesia (HI),64.0,89.0,52.0,9.0,13.0,30.0,SEDANG,0,0,1,1,51.94165535956581,64.0,75.12778748188555,89.0,36.31953867028494,52.0,14.15563093622795,9.0,30.586974219810042,13.0,22.045534260745516,30.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-02,DKI1  Bundaran Hotel Indonesia (HI),53.0,93.0,52.0,4.0,12.0,28.0,SEDANG,0,1,1,1,64.0,58.5,89.0,91.0,52.0,52.0,9.0,6.5,13.0,12.5,30.0,29.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-03,DKI1  Bundaran Hotel Indonesia (HI),52.0,57.0,52.0,6.0,12.0,27.0,SEDANG,0,2,1,1,53.0,56.333333333333336,93.0,79.66666666666667,52.0,52.0,4.0,6.333333333333333,12.0,12.333333333333334,28.0,28.333333333333332,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-04,DKI1  Bundaran Hotel Indonesia (HI),30.0,57.0,65.0,20.0,8.0,65.0,TIDAK SEHAT,0,3,1,1,52.0,49.75,57.0,74.0,52.0,55.25,6.0,9.75,12.0,11.25,27.0,37.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2024-01-05,DKI1  Bundaran Hotel Indonesia (HI),22.0,54.0,46.0,15.0,24.0,44.0,SEDANG,0,4,1,1,30.0,44.2,57.0,70.0,65.0,53.4,20.0,10.8,8.0,13.8,65.0,38.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-06,DKI1  Bundaran Hotel Indonesia (HI),49.0,68.0,46.0,12.0,38.0,36.0,SEDANG,0,5,1,1,22.0,45.0,54.0,69.66666666666667,46.0,52.166666666666664,15.0,11.0,24.0,17.833333333333332,44.0,38.333333333333336,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-07,DKI1  Bundaran Hotel Indonesia (HI),52.0,77.0,45.0,14.0,34.0,44.0,SEDANG,0,6,1,1,49.0,46.0,68.0,70.71428571428571,46.0,51.142857142857146,12.0,11.428571428571429,38.0,20.142857142857142,36.0,39.142857142857146,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-08,DKI1  Bundaran Hotel Indonesia (HI),49.0,52.0,46.0,10.0,27.0,32.0,SEDANG,0,0,1,1,52.0,43.857142857142854,77.0,65.42857142857143,45.0,50.285714285714285,14.0,11.571428571428571,34.0,22.142857142857142,44.0,39.42857142857143,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-09,DKI1  Bundaran Hotel Indonesia (HI),50.0,62.0,48.0,13.0,25.0,31.0,SEDANG,0,1,1,1,49.0,43.42857142857143,52.0,61.0,46.0,49.714285714285715,10.0,12.857142857142858,27.0,24.0,32.0,39.857142857142854,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2024-01-10,DKI1  Bundaran Hotel Indonesia (HI),49.0,66.0,49.0,10.0,34.0,41.0,SEDANG,0,2,1,1,50.0,43.0,62.0,62.285714285714285,48.0,49.285714285714285,13.0,13.428571428571429,25.0,27.142857142857142,31.0,41.857142857142854,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
