tanggal_lengkap,pm10,pm25,so2,co,o3,no2,parameter_kritis,stasiun_0,stasiun_DKI1 Bunderan HI,stasiun_DKI2 Kelapa Gading,stasiun_DKI3 Jagakarsa,stasiun_DKI4 Lubang Buaya,stasiun_DKI5 Kebon Jeruk Jakarta Barat,kategori_BAIK,kategori_SANGAT TIDAK SEHAT,kategori_SEDANG,kategori_TIDAK ADA DATA,kategori_TIDAK SEHAT,jam,hari_dalam_minggu,nomor_bulan,musim
10/31/2020,45,73.39363740896896,55,15,29,20,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,5,10,4
5/31/2022,63,100,44,37,59,44,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,5,2
2/6/2020,39,51,58,15,57,21,SO2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,3,2,1
6/10/2020,67,51,21,24,61,14,PM10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,6,3
10/9/2020,74,51,52,15,49,25,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,10,4
1/1/2021,38,53,29,6,31,13,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,1,1
1/2/2021,27,46,27,7,47,7,O3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,5,1,1
1/3/2021,44,58,25,7,40,13,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,6,1,1
1/4/2021,30,48,24,4,32,7,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,1,1
1/5/2021,38,53,24,6,31,9,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,1,1
1/6/2021,41,58,23,13,46,13,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,2,1,1
1/7/2021,35,47,22,6,39,10,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,3,1,1
1/8/2021,37,54,26,16,17,10,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,1,1
1/9/2021,47,61,16,27,22,12,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,5,1,1
1/10/2021,23,25,16,11,33,8,O3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,6,1,1
1/11/2021,38,54,17,14,27,10,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,1
1/12/2021,29,50,20,12,26,15,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
1/13/2021,34,44,17,13,20,9,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,1,1
1/14/2021,36,57,15,15,26,13,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,3,1,1
1/15/2021,42,62,14,15,32,12,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,1,1
1/16/2021,52,73,15,17,25,14,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,5,1,1
1/17/2021,52,71,17,15,26,14,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,6,1,1
1/18/2021,40,52,16,11,26,12,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,1
1/19/2021,31,41,13,12,25,12,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,1,1
1/20/2021,35,34,12,12,22,13,PM10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,1,1
1/21/2021,43,51,13,14,28,15,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,3,1,1
1/22/2021,49,63,14,14,28,15,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,1,1
1/23/2021,72,108,14,37,44,20,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,5,1,1
1/24/2021,33,48,12,14,23,10,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,6,1,1
1/25/2021,56,82,13,29,62,15,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,1,1
1/26/2021,52,70,14,19,28,13,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,1,1,1
1/27/2021,20,20,13,10,19,8,PM10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2,1,1
1/28/2021,27,41,14,18,17,11,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,3,1,1
1/29/2021,30,53,16,17,24,11,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,4,1,1
1/30/2021,27,37,13,16,24,12,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,5,1,1
1/31/2021,36,51,13,16,26,10,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,6,1,1
2/1/2021,59,79,21,26,15,31,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,2,1
2/2/2021,30,46,21,14,16,24,PM25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,2,1
