periode_data,tanggal_lengkap,tahun,bulan,hari,stasiun,pm10,pm25,so2,co,o3,no2,max_ispu,parameter_kritis,kategori
202005,2020-05-01,2020.0,5.0,1.0,DKI5 Kebon Jeruk Jakarta Barat,55.0,,26.0,21.0,83.0,10.0,83.0,O3,SEDANG
202005,2020-05-02,2020.0,5.0,2.0,DKI5 Kebon Jeruk Jakarta Barat,36.0,,22.0,12.0,80.0,9.0,80.0,O3,SEDANG
202005,2020-05-03,2020.0,5.0,3.0,DKI5 Kebon Jeruk Jakarta Barat,65.0,,34.0,35.0,49.0,11.0,65.0,PM10,SEDANG
202005,2020-05-04,2020.0,5.0,4.0,DKI5 Kebon Jeruk Jakarta Barat,53.0,,21.0,14.0,75.0,8.0,75.0,O3,SEDANG
202005,2020-05-05,2020.0,5.0,5.0,DKI5 Kebon Jeruk Jakarta Barat,53.0,,22.0,18.0,73.0,9.0,73.0,O3,SEDANG
202005,2020-05-06,2020.0,5.0,6.0,DKI5 Kebon Jeruk Jakarta Barat,52.0,,22.0,14.0,63.0,7.0,63.0,O3,SEDANG
202005,2020-05-07,2020.0,5.0,7.0,DKI5 Kebon Jeruk Jakarta Barat,67.0,,24.0,18.0,69.0,9.0,69.0,O3,SEDANG
202005,2020-05-08,2020.0,5.0,8.0,DKI5 Kebon Jeruk Jakarta Barat,91.0,,22.0,18.0,120.0,10.0,120.0,O3,TIDAK SEHAT
202005,2020-05-09,2020.0,5.0,9.0,DKI4 Lubang Buaya,77.0,,22.0,22.0,75.0,12.0,77.0,PM10,SEDANG
202005,2020-05-10,2020.0,5.0,10.0,DKI5 Kebon Jeruk Jakarta Barat,72.0,,23.0,27.0,81.0,15.0,81.0,O3,SEDANG
202005,2020-05-11,2020.0,5.0,11.0,DKI5 Kebon Jeruk Jakarta Barat,54.0,,24.0,18.0,83.0,8.0,83.0,O3,SEDANG
202005,2020-05-12,2020.0,5.0,12.0,DKI5 Kebon Jeruk Jakarta Barat,57.0,,23.0,20.0,81.0,10.0,81.0,O3,SEDANG
202005,2020-05-13,2020.0,5.0,13.0,DKI5 Kebon Jeruk Jakarta Barat,55.0,,22.0,17.0,79.0,8.0,79.0,O3,SEDANG
202005,2020-05-14,2020.0,5.0,14.0,DKI3 Jagakarsa,61.0,,23.0,17.0,64.0,12.0,64.0,O3,SEDANG
202005,2020-05-15,2020.0,5.0,15.0,DKI2 Kelapa Gading,66.0,,23.0,18.0,62.0,9.0,66.0,PM10,SEDANG
202005,2020-05-16,2020.0,5.0,16.0,DKI5 Kebon Jeruk Jakarta Barat,65.0,,23.0,17.0,77.0,8.0,77.0,O3,SEDANG
202005,2020-05-17,2020.0,5.0,17.0,DKI5 Kebon Jeruk Jakarta Barat,74.0,,23.0,18.0,122.0,9.0,122.0,O3,TIDAK SEHAT
202005,2020-05-18,2020.0,5.0,18.0,DKI5 Kebon Jeruk Jakarta Barat,62.0,,21.0,15.0,79.0,10.0,79.0,O3,SEDANG
202005,2020-05-19,2020.0,5.0,19.0,DKI5 Kebon Jeruk Jakarta Barat,42.0,,23.0,15.0,119.0,13.0,119.0,O3,TIDAK SEHAT
202005,2020-05-20,2020.0,5.0,20.0,DKI4 Lubang Buaya,61.0,,23.0,14.0,73.0,9.0,73.0,O3,SEDANG
202005,2020-05-21,2020.0,5.0,21.0,DKI2 Kelapa Gading,33.0,,23.0,14.0,79.0,12.0,79.0,O3,SEDANG
202005,2020-05-22,2020.0,5.0,22.0,DKI5 Kebon Jeruk Jakarta Barat,70.0,,22.0,16.0,88.0,17.0,88.0,O3,SEDANG
202005,2020-05-23,2020.0,5.0,23.0,DKI5 Kebon Jeruk Jakarta Barat,42.0,,22.0,15.0,87.0,8.0,87.0,O3,SEDANG
202005,2020-05-24,2020.0,5.0,24.0,DKI2 Kelapa Gading,62.0,,21.0,26.0,65.0,11.0,65.0,O3,SEDANG
202005,2020-05-25,2020.0,5.0,25.0,DKI4 Lubang Buaya,50.0,,25.0,15.0,44.0,9.0,50.0,PM10,BAIK
202005,2020-05-26,2020.0,5.0,26.0,DKI4 Lubang Buaya,52.0,,42.0,18.0,45.0,8.0,52.0,PM10,SEDANG
202005,2020-05-27,2020.0,5.0,27.0,DKI2 Kelapa Gading,37.0,,22.0,12.0,76.0,10.0,76.0,O3,SEDANG
202005,2020-05-28,2020.0,5.0,28.0,DKI5 Kebon Jeruk Jakarta Barat,64.0,,35.0,16.0,136.0,16.0,136.0,O3,TIDAK SEHAT
202005,2020-05-29,2020.0,5.0,29.0,DKI5 Kebon Jeruk Jakarta Barat,62.0,,27.0,16.0,134.0,12.0,134.0,O3,TIDAK SEHAT
202005,2020-05-30,2020.0,5.0,30.0,DKI5 Kebon Jeruk Jakarta Barat,63.0,,38.0,36.0,73.0,11.0,73.0,O3,SEDANG
202005,2020-05-31,2020.0,5.0,31.0,DKI5 Kebon Jeruk Jakarta Barat,54.0,,32.0,28.0,66.0,9.0,66.0,O3,SEDANG
202008,2020-08-18,2020.0,8.0,18.0,DKI5 Kebon Jeruk Jakarta Barat,75.0,,25.0,19.0,99.0,14.0,99.0,O3,SEDANG
202008,2020-08-19,2020.0,8.0,19.0,DKI3 Jagakarsa,80.0,,33.0,29.0,82.0,18.0,82.0,O3,SEDANG
202008,2020-08-20,2020.0,8.0,20.0,DKI3 Jagakarsa,62.0,,30.0,18.0,64.0,13.0,64.0,O3,SEDANG
202008,2020-08-21,2020.0,8.0,21.0,DKI4 Lubang Buaya,71.0,,32.0,10.0,58.0,10.0,71.0,PM10,SEDANG
202008,2020-08-22,2020.0,8.0,22.0,DKI4 Lubang Buaya,84.0,,31.0,20.0,63.0,16.0,84.0,PM10,SEDANG
202008,2020-08-23,2020.0,8.0,23.0,DKI5 Kebon Jeruk Jakarta Barat,72.0,,33.0,27.0,88.0,14.0,88.0,O3,SEDANG
202008,2020-08-24,2020.0,8.0,24.0,DKI4 Lubang Buaya,79.0,,31.0,17.0,68.0,14.0,79.0,PM10,SEDANG
202008,2020-08-25,2020.0,8.0,25.0,DKI5 Kebon Jeruk Jakarta Barat,74.0,,33.0,13.0,75.0,17.0,75.0,O3,SEDANG
202008,2020-08-26,2020.0,8.0,26.0,DKI5 Kebon Jeruk Jakarta Barat,63.0,,31.0,9.0,100.0,11.0,100.0,O3,SEDANG
202008,2020-08-27,2020.0,8.0,27.0,DKI5 Kebon Jeruk Jakarta Barat,57.0,,31.0,10.0,80.0,11.0,80.0,O3,SEDANG
202008,2020-08-28,2020.0,8.0,28.0,DKI4 Lubang Buaya,84.0,,33.0,15.0,67.0,16.0,84.0,PM10,SEDANG
202008,2020-08-29,2020.0,8.0,29.0,DKI5 Kebon Jeruk Jakarta Barat,70.0,,33.0,12.0,71.0,12.0,71.0,O3,SEDANG
202008,2020-08-30,2020.0,8.0,30.0,DKI5 Kebon Jeruk Jakarta Barat,74.0,,33.0,15.0,79.0,10.0,79.0,O3,SEDANG
202008,2020-08-31,2020.0,8.0,31.0,DKI5 Kebon Jeruk Jakarta Barat,69.0,,33.0,13.0,134.0,14.0,134.0,O3,TIDAK SEHAT
202009,2020-09-17,2020.0,9.0,17.0,DKI4 Lubang Buaya,65.0,,52.0,11.0,45.0,23.0,83.0,PM25,SEDANG
202009,2020-09-18,2020.0,9.0,18.0,DKI4 Lubang Buaya,70.0,,51.0,15.0,40.0,19.0,106.0,PM25,TIDAK SEHAT
202009,2020-09-19,2020.0,9.0,19.0,DKI4 Lubang Buaya,88.0,,56.0,14.0,40.0,20.0,119.0,PM25,TIDAK SEHAT
202009,2020-09-20,2020.0,9.0,20.0,DKI3 Jagakarsa,73.0,,52.0,15.0,31.0,13.0,86.0,PM25,SEDANG
202009,2020-09-21,2020.0,9.0,21.0,DKI4 Lubang Buaya,65.0,,50.0,19.0,28.0,18.0,85.0,PM25,SEDANG
202009,2020-09-22,2020.0,9.0,22.0,DKI4 Lubang Buaya,62.0,,50.0,15.0,39.0,19.0,67.0,PM25,SEDANG
202009,2020-09-23,2020.0,9.0,23.0,DKI2 Kelapa Gading,73.0,,51.0,17.0,32.0,30.0,102.0,PM25,TIDAK SEHAT
202009,2020-09-24,2020.0,9.0,24.0,DKI3 Jagakarsa,57.0,,44.0,16.0,39.0,29.0,93.0,PM25,SEDANG
202001,2020-01-01,2020.0,1.0,1.0,DKI5 Kebon Jeruk Jakarta Barat,38.0,,36.0,25.0,46.0,9.0,46.0,O3,BAIK
202001,2020-01-02,2020.0,1.0,2.0,DKI5 Kebon Jeruk Jakarta Barat,45.0,,36.0,39.0,102.0,8.0,102.0,O3,TIDAK SEHAT
202001,2020-01-03,2020.0,1.0,3.0,DKI5 Kebon Jeruk Jakarta Barat,51.0,,37.0,27.0,63.0,10.0,63.0,O3,SEDANG
202001,2020-01-04,2020.0,1.0,4.0,DKI5 Kebon Jeruk Jakarta Barat,51.0,,38.0,19.0,85.0,10.0,85.0,O3,SEDANG
